box_folder	box	folder	image
07-35	07	35	07-35 Endless Quest 19 Conan and the Prophey (157).txt.gv.png
07-36	07	36	07-36 Endless Quest 21 Duel of the Masters (157).txt.gv.png
07-37	07	37	07-37 Endless Quest 22 Endless Catacombs (157).txt.gv.png
07-40	07	40	07-40 Endless Quest 24 Trouble on Artule (157).txt.gv.png
07-41	07	41	07-41 Endless Quest 25 Outlaw, The (157).txt.gv.png
07-42	07	42	07-42 Endless Quest 26 Tarzan and the Well of Slaves (157).txt.gv.png
07-43	07	43	07-43 Endless Quest 27 Lair of the Lich (157).txt.gv.png
07-44	07	44	07-44 Endless Quest 28 Mystery of the Ancients (157).txt.gv.png
07-45	07	45	07-45 Endless Quest 29 Tower of Darkness (157).txt.gv.png
07-46	07	46	07-46 Endless Quest 30 Fireseed (157), The.txt.gv.png
07-47	07	47	07-47 Endless Quest 31 Tarzan and the Tower of Diamonds (157).txt.gv.png
07-48	07	48	07-48 Endless Quest 32 Prisoner of Elderwood (157).txt.gv.png
07-49	07	49	07-49 Endless Quest 33 Knight of Illusion (159).txt.gv.png
07-50	07	50	07-50 Endless Quest 34 Claw of the Dragon.txt.gv.png
07-51	07	51	07-51 Endless Quest 35 Vision of Doom (160).txt.gv.png
07-52	07	52	07-52 Endless Quest 36 Song of the Dark Druid (160).txt.gv.png
07-53	07	53	07-53 Endless Quest Dungeon of Fear.txt.gv.png
07-54	07	54	07-54 Endless Quest Castle of the Undead.txt.gv.png
07-55	07	55	07-55 Endless Quest Secret of Djinn.txt.gv.png
07-56	07	56	07-56 Endless Quest Siege of the Tower.txt.gv.png
07-57	07	57	07-57 Endless Quest A Wild Ride.txt.gv.png
07-58	07	58	07-58 Endless Quest Forest of Darkness.txt.gv.png
07-59	07	59	07-59 Endless Quest American Knights.txt.gv.png
07-60	07	60	07-60 Endless Quest 07 Night of the Tiger (EDIT G).txt.gv.png
07-60	07	60	07-60 Endless Quest 07 Night of the Tiger.txt.gv.png
07-61	07	61	07-61 Endless Quest Galactic Challenge.txt.gv.png
07-62	07	62	07-62 Endless Quest Bigby's Curse.txt.gv.png
07-63	07	63	07-63 Endless Quest 24-Hour War.txt.gv.png
08-01	08	01	08-01 Thundercats -- The Thundercats and the Ghost Warrior.txt.gv.png
08-02	08	02	08-02 Thundercats -- The Thundercats and the Snowmen of Hook Mountain.txt.gv.png
08-03	08	03	08-03 The Three Investigators -- The Case of the Weeping Coffin.txt.gv.png
08-04	08	04	08-04 The Three Investigators -- Case of the Dancing Dinosaur, The.txt.gv.png
08-05	08	05	08-05 The Three Investigators -- Case of the House of Horrors, The.txt.gv.png
08-06	08	06	08-06 The Three Investigators -- Case of the Savage Statue, The.txt.gv.png
09-01	09	01	09-01 Time Machine -- Blade of the Guillotine.txt.gv.png
09-01	09	01	09-01v2 Time Machine -- Blade of the Guillotine (compressed).txt.gv.png
09-03	09	03	09-03 Time Machine 15 Flame of the Inquisition.txt.gv.png
09-04	09	04	09-04 Time Machine 16 Quest for the Cities of Gold.txt.gv.png
09-05	09	05	09-05 Time Machine 17 Scotland Yard Detective.txt.gv.png
09-06	09	06	09-06 Time Machine 18 Sword of Caesar.txt.gv.png
09-07	09	07	09-07 Time Machine 19 Death Mask of Pancho Villa.txt.gv.png
09-08	09	08	09-08 Time Machine 20 Bound for Australia.txt.gv.png
09-10	09	10	09-10 Time Machine 22 Last of the Dinosaurs.txt.gv.png
